AbsLearnSignal,ItrTime,Time,MeanKL,Entropy,Iteration,LossAfter,NumTrajs,MaxReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,MinReturn,AverageReturn,LossBefore,PolicyExecTime,dLoss,StdReturn,Perplexity,AverageDiscountedReturn,ExplainedVariance,MeanKLBefore
0.8511466289,39.8653464317,39.865363121,0.0071753343,2.8378768,0,-0.04952456,2,-385.845578051,0.0032401085,34.1034982204,1,-707.2238398417,-546.5347089463,0,0.2920327187,0.04952456,160.6891308954,17.079464,-382.280646969,6.41042774418565E-13,0
0.8244297478,26.3545620441,66.2673664093,0.008678219,2.8441525,1,-0.06178908,1,-454.3972269445,0.0022213459,21.092351675,1.0031601,-454.3972269445,-454.3972269445,-4.7683717E-08,0.10957551,0.061789032,0,17.186985,-328.4622295928,0.1370390983,0
0.8664274791,39.6977214813,106.0085129738,0.009457638,2.8703496,2,-0.039208103,2,-244.5253006933,0.0033538342,34.4785397053,1.0163692,-374.7492684023,-309.6372845478,5.372813E-08,0.1502947807,0.039208155,65.1119838545,17.643187,-243.1060195782,0.4477849359,0
0.9235381548,31.5472011566,137.5973215103,0.009264975,2.859833,3,-0.07550721,2,-295.5554514525,0.0024433136,26.4683198929,1.0110968,-472.3812901962,-383.9683708244,-1.8517948E-08,0.1103634834,0.075507194,88.4129193718,17.45861,-308.5761508691,-340.4175780321,0
0.8870668585,25.7456359863,163.3837826252,0.0062266253,2.8546102,4,-0.042890653,1,-833.6675042884,0.0021486282,20.5842835903,1.008563,-833.6675042884,-833.6675042884,9.536743E-09,0.1009733677,0.042890664,0,17.367666,-524.7868733044,-1.8594548636,0
0.9252415925,45.3356034756,208.7702383995,0.007836538,2.854213,5,-0.04390713,3,-66.1630175217,0.0035731792,40.0752005577,1.0082196,-1018.7319911157,-486.8105230916,4.828731E-08,0.1648886204,0.043907177,396.7646938289,17.36077,-336.287896552,0.0364200396,0
0.8573322054,26.3550300598,235.1665263176,0.009832758,2.8589334,6,-0.05902231,1,-487.8825494996,0.0023405552,21.2419154644,1.0105846,-487.8825494996,-487.8825494996,1.9073486E-08,0.1048145294,0.05902233,0,17.442913,-341.47770503,-0.3849476117,0
0.8556194158,31.8881614208,267.0969419479,0.0076827207,2.8624194,7,-0.053592384,2,-331.1092659268,0.0023896694,26.7592144012,1.0124888,-388.5501458787,-359.8297059027,-1.8517948E-08,0.1093811989,0.053592365,28.7204399759,17.503824,-290.4092627651,0.8928406215,0
0.8135546056,26.026787281,293.1649711132,0.007348088,2.8313491,8,-0.028427582,1,-804.011331589,0.0022013187,20.954369545,0.99708223,-804.011331589,-804.011331589,2.8610229E-08,0.0987560749,0.02842761,0,16.968338,-508.0337744939,-16.3576847555,0
0.8323235342,31.6341559887,324.8406083584,0.009410221,2.841833,9,-0.08334056,2,-421.2848894039,0.0024175644,26.4519438744,1.0023632,-437.0301195888,-429.1575044964,-9.082613E-09,0.1087064743,0.083340555,7.8726150925,17.14717,-335.9321811759,0.8735190552,0
0.8499786281,27.3090620041,352.1912720203,0.0086469725,2.84742,10,-0.03176214,1,-330.4091490821,0.0021517277,22.1876413822,1.0050974,-330.4091490821,-330.4091490821,-3.8146972E-08,0.1164028645,0.031762104,0,17.243237,-246.3073460294,-25.464915624,0
0.8682297848,25.9572987556,378.1895985603,0.0076105446,2.873517,11,-0.041836843,1,-923.3011870369,0.0023465157,20.889551878,1.0182128,-923.3011870369,-923.3011870369,1.9073486E-08,0.1013207436,0.04183686,0,17.699158,-565.4975949325,0.2893471818,0
0.9306865232,39.5744187832,417.8167891502,0.007404922,2.8629344,12,-0.04661343,2,-447.150448834,0.0036327839,34.3786063194,1.012832,-1070.1474033576,-758.6489260958,-2.5096693E-08,0.1554427147,0.046613403,311.4984772618,17.51284,-503.6955112653,0.0602191962,0
0.8438615217,25.9918277264,443.8546416759,0.0088783465,2.8652956,13,-0.092433,1,-862.8748415798,0.0022058487,20.8721606731,1.0141231,-862.8748415798,-862.8748415798,4.7683715E-09,0.0969405174,0.092433006,0,17.554243,-540.0469580179,0.2711312747,0
0.7644036863,26.1344995499,470.0313398838,0.009139079,2.885173,14,-0.06145798,1,-841.7273187472,0.0021822453,20.9398965836,1.024181,-841.7273187472,-841.7273187472,-1.4305114E-08,0.1010489464,0.061457966,0,17.906666,-527.931141091,0.9658182158,0
0.8938899628,26.2319538593,496.3064215183,0.006680006,2.8704486,15,-0.056375645,1,-506.3871145151,0.0021409988,21.0096275806,1.0168724,-506.3871145151,-506.3871145151,-7.152557E-09,0.0994634628,0.056375638,0,17.644932,-344.9746559415,0.2208239996,0
