AverageDiscountedReturn,AveragePolicyStd,AbsLearnSignal,Time,Perplexity,MeanKLBefore,Entropy,AverageReturn,StdReturn,Iteration,LossAfter,LossBefore,dLoss,ProcessExecTime,PolicyExecTime,EnvExecTime,ExplainedVariance,OriginalTaskAverageReturn,NumTrajs,MinReturn,IRLLoss,MeanKL,MaxReturn,ItrTime
-77.04909738638563,1.0,0.8951554283020144,27.710492849349976,17.079472,0.0,2.8378773,-102.89251686632633,45.93501518666744,0,-0.05808435,2.0959876e-08,0.058084372,0.0023620128631591797,0.28789830207824707,21.658039569854736,8.307465826362659e-12,6.033297691069867,2,-148.82753205299377,0.50512683,0.009587426,-56.95750167965889,27.710495710372925
-105.33398182225525,0.9977464,0.8137810674200164,45.573248863220215,17.002558,0.0,2.8333638,-153.1918265223503,0.0,1,-0.082475625,3.973643e-09,0.08247563,0.0014994144439697266,0.09818696975708008,12.737333536148071,0.9786293783442355,10.218732884892152,1,-153.1918265223503,0.34690708,0.0065561845,-153.1918265223503,17.858689308166504
nan,0.9978213,nan,63.517951250076294,17.004871,0.0,2.8335,nan,nan,2,nan,nan,nan,0.0015537738800048828,0.10985398292541504,12.767579078674316,nan,nan,1,nan,0.13797694,0.0,nan,17.94069194793701
-169.5075211435636,0.9978214,nan,88.7328851222992,17.004868,0.0,2.8334997,-224.2574444413185,184.1000880599022,3,nan,nan,nan,0.0020875930786132812,0.131547212600708,19.984222173690796,nan,4.429363295606044,2,-408.3575325012207,0.20885071,0.0,-40.15735638141632,25.210848808288574
-103.07727443820589,0.99782133,0.8847603805860155,112.52281999588013,17.004871,0.0,2.8335,-146.41871666908264,134.45981812477112,4,-0.1147168,-8.765389e-09,0.11471679,0.0018334388732910156,0.11512970924377441,18.560928344726562,0.7200974844606358,5.500611621159223,2,-280.87853479385376,0.27174288,0.009406009,-11.958898544311523,23.78550887107849
-190.067114735625,1.0055561,0.8480321894096969,130.46324253082275,17.269436,0.0,2.8489382,-271.9650464653969,0.0,5,-0.096856005,-3.1789146e-08,0.096855976,0.0016231536865234375,0.10391950607299805,12.813245296478271,0.8675453060410776,10.751113790261462,1,-271.9650464653969,0.14519168,0.008484244,-271.9650464653969,17.936028957366943
-447.50119400644434,1.0063511,0.7764759049267996,148.36150479316711,17.296715,0.0,2.8505166,-584.4792802333832,0.0,6,-0.059938636,-1.5894573e-08,0.05993862,0.00153350830078125,0.09957242012023926,12.631198167800903,0.8637875987985694,7.06668695045678,1,-584.4792802333832,0.0648609,0.0065152934,-584.4792802333832,17.89439368247986
nan,1.0271884,nan,178.9192214012146,18.019405,0.0,2.8914492,nan,nan,7,nan,nan,nan,0.003004789352416992,0.20517301559448242,25.17369031906128,nan,nan,2,nan,0.42608893,0.0,nan,30.553719997406006
nan,1.0271884,nan,196.69641971588135,18.019405,0.0,2.8914492,nan,nan,8,nan,nan,nan,0.001584768295288086,0.10330677032470703,12.569667100906372,nan,nan,1,nan,0.054245085,0.0,nan,17.77317237854004
nan,1.0271884,nan,227.44455790519714,18.019405,0.0,2.8914492,nan,nan,9,nan,nan,nan,0.0029566287994384766,0.2136979103088379,25.30642580986023,nan,nan,2,nan,0.69567734,0.0,nan,30.743775129318237
-246.5071524969024,1.0271884,nan,245.3010275363922,18.019405,0.0,2.8914492,-351.5095816254616,0.0,10,nan,nan,nan,0.001560211181640625,0.09989118576049805,12.715615272521973,nan,8.370233672317271,1,-351.5095816254616,0.12805933,0.0,-351.5095816254616,17.851993083953857
nan,1.0271884,nan,263.62948393821716,18.019405,0.0,2.8914492,nan,nan,11,nan,nan,nan,0.0017230510711669922,0.11536741256713867,13.1626615524292,nan,nan,1,nan,0.45568,0.0,nan,18.324249744415283
-304.785871431164,1.0271884,nan,281.5840048789978,18.019405,0.0,2.8914492,-419.00744622945786,0.0,12,nan,nan,nan,0.0016036033630371094,0.09276413917541504,12.700037479400635,nan,9.505897070088162,1,-419.00744622945786,0.08850008,0.0,-419.00744622945786,17.95029354095459
-281.81194549599286,1.0271884,0.7778341923032127,299.5091052055359,18.019405,0.0,2.8914492,-400.21650433540344,0.0,13,-0.079317026,3.1789146e-08,0.079317056,0.0016026496887207031,0.10159420967102051,12.715344905853271,0.7069772075024191,9.303372820942869,1,-400.21650433540344,0.053520307,0.0065230555,-400.21650433540344,17.921340703964233
-232.76211216427882,1.0298418,0.8535767059049366,317.636430978775,18.113857,0.0,2.8966773,-324.20850229263306,0.0,14,-0.1204634,-1.5894573e-08,0.120463386,0.0015044212341308594,0.10589981079101562,13.008140325546265,0.2234913758230278,11.871200591059399,1,-324.20850229263306,0.10814356,0.00679153,-324.20850229263306,18.123559713363647
-110.24861799628525,1.0356432,0.8372311537822253,335.96470046043396,18.317352,0.0,2.9078488,-151.8433634340763,0.0,15,-0.06890168,-0.0,0.06890168,0.0017108917236328125,0.11864161491394043,13.18406081199646,0.4348035882079153,16.47082044111566,1,-151.8433634340763,0.6611579,0.008510777,-151.8433634340763,18.32426619529724
nan,1.0560206,nan,365.7606587409973,19.046333,0.0,2.9468746,nan,nan,16,nan,nan,nan,0.002987384796142578,0.19495844841003418,24.53907537460327,nan,nan,2,nan,0.12684375,0.0,nan,29.79200506210327
-348.8244954884031,1.0560207,nan,383.9623022079468,19.04633,0.0,2.9468744,-493.67530393600464,0.0,17,nan,nan,nan,0.0017371177673339844,0.11281585693359375,13.036190748214722,nan,7.3156702414004595,1,-493.67530393600464,0.060688738,0.0,-493.67530393600464,18.195793390274048
nan,1.0560207,nan,402.02019238471985,19.04633,0.0,2.9468744,nan,nan,18,nan,nan,nan,0.0015244483947753906,0.1045231819152832,12.924533367156982,nan,nan,1,nan,0.3197111,0.0,nan,18.054004669189453
-369.88477049031405,1.0560207,nan,420.2687382698059,19.04633,0.0,2.9468744,-499.28272342681885,0.0,19,nan,nan,nan,0.0015537738800048828,0.10807204246520996,12.953545570373535,nan,9.656006325403956,1,-499.28272342681885,0.06177368,0.0,-499.28272342681885,18.243824005126953
-273.5654256351334,1.0560207,0.8731843034514505,438.2959318161011,19.04633,0.0,2.9468744,-392.45402282476425,0.0,20,-0.09291298,3.1789146e-08,0.09291301,0.0015337467193603516,0.10465788841247559,12.85141110420227,0.926797825021987,9.097075181831213,1,-392.45402282476425,0.32199582,0.008684077,-392.45402282476425,18.02326798439026
-273.94618630738825,1.0459304,0.8304304453182136,456.18943214416504,18.678848,0.0,2.9273918,-390.22106796503067,0.0,21,-0.04406382,-0.0,0.04406382,0.0015420913696289062,0.10516047477722168,12.768122911453247,-15.588060125816074,10.29372592028037,1,-390.22106796503067,0.20542158,0.006702424,-390.22106796503067,17.8897488117218
-331.83024138218485,1.0242465,0.9353202864427522,474.24639654159546,17.909906,0.0,2.885354,-464.20042526721954,0.0,22,-0.050979137,3.1789146e-08,0.05097917,0.0015480518341064453,0.10152649879455566,12.851550340652466,0.41047129132947857,9.385145576938452,1,-464.20042526721954,0.12087277,0.0074037863,-464.20042526721954,18.05294132232666
-349.81910169950106,1.0167861,0.8790432702215077,492.2127277851105,17.653452,0.0,2.8709314,-493.1898471713066,0.0,23,-0.08499174,3.1789146e-08,0.08499177,0.0016658306121826172,0.10771870613098145,12.818985939025879,0.8185569961623401,8.126700523427498,1,-493.1898471713066,0.055545177,0.0072405874,-493.1898471713066,17.96241784095764
-167.18422563238929,1.0129703,0.6951145187684056,510.38189697265625,17.51797,0.0,2.8632271,-250.06136816740036,0.0,24,-0.035726514,-0.0,0.035726514,0.0015599727630615234,0.11492443084716797,13.043366193771362,0.15687424538687955,11.833003591776006,1,-250.06136816740036,0.36705607,0.0074861674,-250.06136816740036,18.164318799972534
-318.45203013493136,1.0134941,0.8906699838604871,528.2033092975616,17.532885,0.0,2.8640783,-434.06090688705444,0.0,25,-0.10009157,-0.0,0.10009157,0.0015299320220947266,0.10224032402038574,12.637948513031006,0.7789950064351719,9.09887195147037,1,-434.06090688705444,0.020859947,0.006710025,-434.06090688705444,17.81691336631775
nan,1.0224956,nan,558.9180917739868,17.851124,0.0,2.8820665,nan,nan,26,nan,nan,nan,0.003038167953491211,0.2072749137878418,25.321388244628906,nan,nan,2,nan,0.8199277,0.0,nan,30.71069598197937
nan,1.0224957,nan,576.7835781574249,17.851124,0.0,2.8820665,nan,nan,27,nan,nan,nan,0.0015566349029541016,0.10077261924743652,12.599921703338623,nan,nan,1,nan,0.028368233,0.0,nan,17.86080574989319
-301.7269394008015,1.0224957,nan,594.7624378204346,17.851124,0.0,2.8820665,-407.88705611228943,0.0,28,nan,nan,nan,0.001588582992553711,0.1057126522064209,12.699830293655396,nan,8.313042857658623,1,-407.88705611228943,0.2856278,0.0,-407.88705611228943,17.974117517471313
-233.39437297593344,1.0224957,0.924008647489665,612.8490333557129,17.851124,0.0,2.8820665,-329.44635260105133,0.0,29,-0.07554109,-0.0,0.07554109,0.0015773773193359375,0.11000633239746094,12.950473070144653,-7.320920476862492,10.090789388233238,1,-329.44635260105133,0.10686829,0.008898628,-329.44635260105133,18.082664012908936
-160.73867520484018,0.9960025,0.7406002701608824,631.0781915187836,16.93483,0.0,2.8293724,-230.4997175335884,0.0,30,-0.09101669,-3.1789146e-08,0.09101666,0.0016341209411621094,0.10538196563720703,13.056077003479004,0.8680592985479058,12.83486280764343,1,-230.4997175335884,0.16964768,0.0071532996,-230.4997175335884,18.225162267684937
nan,0.98935515,nan,649.0468699932098,16.713877,0.0,2.8162394,nan,nan,31,nan,nan,nan,0.0016503334045410156,0.09871244430541992,12.72632122039795,nan,nan,1,nan,0.13721062,0.0,nan,17.964066743850708
