IRLMedianLogQtau,ExplainedVariance,OriginalTaskAverageReturn,ProcessExecTime,EnvExecTime,AveragePolicyStd,Entropy,Perplexity,IRLAverageEnergy,IRLRewardMean,IRLAverageLogQtau,NumTrajs,IRLRewardMin,IRLLoss,LossAfter,PolicyExecTime,Iteration,IRLMedianExpertLogQtau,MaxReturn,Time,StdReturn,LossBefore,MeanKLBefore,AverageReturn,MeanKL,IRLAverageExpertEnergy,MinReturn,IRLAverageExpertLogQtau,ItrTime,dLoss,IRLRewardMax,AverageDiscountedReturn
-1.1371127,2.515432306893217e-12,-628.6908915053513,0.005701303482055664,0.03339982032775879,1.0,1.4189383,4.1327305,3.1094599,-3.1094599,-1.4316436,10,-6.1751127,0.6389658,-0.1521730273962021,0.054999351501464844,0,-1.1417596,-198.9938355088234,1.2181715965270996,62.483532718243644,-0.14189384877681732,0.0,-310.9460030019283,0.005403321236371994,0.67368335,-397.3451598882675,-1.5700623,1.218174695968628,0.010279178619384766,-0.35334682,-188.8250274780409
-1.1604193,0.8126832424072187,-603.9432293301153,0.005378246307373047,0.03180193901062012,1.0073178,1.4262296,4.1629734,3.733204,-3.733204,-1.4050218,10,-6.935854,0.3788486,-0.15547744929790497,0.040839195251464844,1,-1.1485474,-258.2383096218109,1.5173418521881104,68.01884579917717,-0.14262299239635468,0.0,-373.3204017933458,0.0086545180529356,0.42604005,-475.5125169157982,-1.5790862,0.29171037673950195,0.012854456901550293,0.13127828,-224.5867516229627
-1.1417584,0.889394673589369,-571.1354311086768,0.0054018497467041016,0.031213998794555664,1.0008773,1.4198152,4.136356,3.599084,-3.599084,-1.41474,10,-7.7824616,0.36934364,-0.15661032497882843,0.04115581512451172,2,-1.1597911,-247.95506551116705,1.8037245273590088,72.97008492215151,-0.14198154211044312,0.0,-359.9083981141448,0.005767864175140858,0.25047544,-485.72466617822647,-1.6002498,0.27223658561706543,0.014628782868385315,0.5549019,-221.67823260338724
-1.1470678,0.9043475795844448,-588.6146604943748,0.0055942535400390625,0.03411269187927246,0.9977605,1.4166964,4.1234756,3.6036172,-3.6036172,-1.4394311,10,-7.7484956,0.338627,-0.16081295907497406,0.0432436466217041,3,-1.1418476,-321.7556812763214,2.105111598968506,19.092661080909032,-0.1416696161031723,0.0,-360.36169776255264,0.006276608444750309,0.0041198665,-389.23681223392487,-1.5745875,0.2940061092376709,0.019143342971801758,1.023087,-218.74702242949508
-1.1717545,0.9172606845213825,-558.1446917378505,0.0055696964263916016,0.03289985656738281,1.0166976,1.4354979,4.2017365,3.7685466,-3.7685466,-1.4629238,10,-8.774353,0.33979365,-0.1605527698993683,0.0443727970123291,4,-1.1490033,-329.8267446830869,2.395388126373291,30.216916696550985,-0.14354979991912842,0.0,-376.85466042645277,0.006736059207469225,-0.080134846,-419.79181990399957,-1.5654728,0.2827901840209961,0.017002969980239868,1.2179264,-231.20285897250483
-1.1938828,0.9493367576851843,-540.3520726549667,0.005602598190307617,0.03449440002441406,1.0378256,1.4560661,4.289054,3.5164404,-3.5164404,-1.4775267,10,-7.57313,0.3165486,-0.1652650535106659,0.04500293731689453,5,-1.1531453,-295.9329255372286,2.702866315841675,30.11956386855052,-0.1456066071987152,0.0,-351.6440419210121,0.004975719377398491,-0.30795303,-407.76317280344665,-1.5367876,0.29978251457214355,0.019658446311950684,1.084718,-215.3302676060926
-1.2123554,0.8973408435286487,-621.2009736777808,0.005395412445068359,0.03195357322692871,1.0526221,1.4702227,4.350204,3.6498003,-3.6498003,-1.4726152,10,-7.4296336,0.27060735,-0.15591636300086975,0.04465031623840332,6,-1.1700579,-294.56983271613717,2.996408700942993,55.63962378299575,-0.1470222920179367,0.0,-364.98000341895965,0.009231853298842907,-0.7379294,-462.28796768188477,-1.5575662,0.2859647274017334,0.008894070982933044,1.0127618,-230.81922916317777
-1.2365556,0.9193473373692214,-574.8801519080228,0.005446910858154297,0.033316612243652344,1.0674175,1.4841806,4.4113493,3.6787107,-3.6787107,-1.4899644,10,-6.7553806,0.27138588,-0.15862715244293213,0.04503154754638672,7,-1.1862096,-306.6076134974137,3.291585683822632,47.817476916256545,-0.14841808378696442,0.0,-367.8710723244585,0.006151723209768534,-0.6850904,-462.7427604198456,-1.5627068,0.2857680320739746,0.010209068655967712,0.9908205,-231.71573334903277
-1.2174522,0.9468310821226973,-593.258814439884,0.00560450553894043,0.0351104736328125,1.0629101,1.4799488,4.3927207,3.7971995,-3.7971995,-1.4739131,10,-7.1843367,0.24522732,-0.16470693051815033,0.04832124710083008,8,-1.1877291,-338.48182494938374,3.589718818664551,25.27519689794345,-0.14799487590789795,0.0,-379.71995813027024,0.009085527621209621,-0.82062644,-425.4683852791786,-1.5687014,0.2894108295440674,0.01671205461025238,1.4530686,-236.5772905818434
-1.231552,0.9183329979693212,-578.0196139519204,0.005707263946533203,0.0348513126373291,1.0709196,1.4874566,4.425824,3.4661083,-3.4661083,-1.4924046,10,-6.951364,0.24821262,-0.1609639674425125,0.044133663177490234,9,-1.1882722,-305.59334325790405,3.887779712677002,31.705804406484337,-0.14874564111232758,0.0,-346.61085413359103,0.00640447624027729,-1.0337943,-414.1966632902622,-1.5578439,0.28957557678222656,0.012218326330184937,1.2774556,-217.18770547136464
-1.1892288,0.9335344694108735,-563.3698977517378,0.005546092987060547,0.03313159942626953,1.0584803,1.4757727,4.374415,3.5335462,-3.5335462,-1.4559654,10,-7.9480295,0.2384817,-0.15693652629852295,0.04178738594055176,10,-1.1841055,-306.92054003477097,4.182219743728638,39.24891775491123,-0.14757730066776276,0.0,-353.35462880954145,0.004739358089864254,-1.0380762,-411.9435423016548,-1.5717571,0.2862880229949951,0.009359225630760193,1.8247721,-220.42847728279085
-1.2037089,0.9355063450134672,-566.0184954494596,0.00552821159362793,0.03348183631896973,1.0616629,1.4787751,4.3875685,3.883773,-3.883773,-1.4831942,10,-6.523664,0.22956914,-0.15394333004951477,0.04635310173034668,11,-1.1796492,-319.3583996295929,4.493424654006958,43.34262064219015,-0.1478775143623352,0.0,-388.37733438909055,0.007956712506711483,-1.0643643,-444.9516854286194,-1.5614921,0.3037075996398926,0.006065815687179565,1.3398305,-241.8148626348549
-1.2246746,0.9424189896197726,-575.7150961122272,0.005467653274536133,0.03332090377807617,1.0592583,1.4765073,4.3776293,3.6853073,-3.6853073,-1.4857392,10,-7.0813007,0.2543191,-0.15733928978443146,0.043314456939697266,12,-1.1772237,-330.13107343018055,4.778043746948242,26.366464971766465,-0.14765073359012604,0.0,-368.5307249788195,0.007024718448519707,-0.866654,-432.04720878601074,-1.559791,0.2770729064941406,0.00968855619430542,2.3398993,-224.34537477451505
-1.199365,0.9732572201825664,-621.6712190287506,0.005895376205444336,0.0365750789642334,1.0491717,1.4669398,4.335946,3.8009872,-3.8009872,-1.4530936,10,-6.4923186,0.21483201,-0.15840832889080048,0.04796147346496582,13,-1.1684729,-326.70069631934166,5.084375619888306,28.907699545666286,-0.14669398963451385,0.0,-380.098739797622,0.008899601176381111,-1.5489284,-424.7122730910778,-1.5455595,0.2969038486480713,0.011714339256286621,2.6095784,-235.5873906743348
-1.1777158,0.8844694635847425,-634.8111499118519,0.005585432052612305,0.03370499610900879,1.034728,1.4530773,4.2762537,3.6855652,-3.6855652,-1.4583923,10,-6.8839374,0.22308198,-0.15821558237075806,0.04387545585632324,14,-1.1820359,-256.4250674843788,5.37489914894104,43.2793089500444,-0.14530770480632782,0.0,-368.55653367042544,0.008415897376835346,-1.5198642,-425.36625611782074,-1.5759642,0.2829005718231201,0.012907877564430237,3.0725935,-233.42209459072464
-1.1709228,0.9594122316321239,-616.1853611030501,0.005479574203491211,0.03315997123718262,1.0275152,1.4460818,4.2464433,3.83626,-3.83626,-1.437164,10,-6.380739,0.22997488,-0.1635880023241043,0.046831607818603516,15,-1.232233,-345.2404907643795,5.65811562538147,19.142166061393198,-0.14460818469524384,0.0,-383.6259922176599,0.008809646591544151,-1.3330121,-415.5825417637825,-1.639824,0.27570128440856934,0.018979817628860474,2.1449456,-235.9608141974291
-1.1847723,0.9354948163626267,-599.7646178010098,0.0057184696197509766,0.03513002395629883,1.04072,1.458851,4.301015,3.8727431,-3.8727431,-1.4576775,10,-6.5660944,0.26342297,-0.15269070863723755,0.04474472999572754,16,-1.1833942,-304.3696314394474,5.955681324005127,46.44964050577752,-0.14588509500026703,0.0,-387.27431491315366,0.008953649550676346,-0.84738046,-454.5850816965103,-1.5620607,0.28995370864868164,0.00680561363697052,1.9717761,-240.9397169668057
-1.21773,0.9260725387749308,-610.7020670138587,0.0060269832611083984,0.03290271759033203,1.0368025,1.45508,4.2848263,4.0347466,-4.0347466,-1.4709157,10,-7.176927,0.2269975,-0.171097531914711,0.04389023780822754,17,-1.1754029,-291.20737160742283,6.254955053329468,60.35970583704061,-0.1455080509185791,0.0,-403.4746748939157,0.006827142555266619,-1.033321,-483.5592743754387,-1.5561192,0.2901914119720459,0.025589480996131897,1.9839857,-246.51874366142297
-1.1666474,0.9353768018176787,-642.4895266995735,0.005648374557495117,0.03434562683105469,1.0363895,1.4546815,4.283119,3.9806507,-3.9806507,-1.4211982,10,-7.488795,0.22679394,-0.1653376817703247,0.04238271713256836,18,-1.160936,-350.1060104370117,6.539214372634888,50.20394292779175,-0.14546817541122437,0.0,-398.06505063027146,0.00827155914157629,-1.4687163,-506.94210052490234,-1.5278246,0.2762899398803711,0.019869506359100342,1.5624241,-247.89248911193417
-1.2029842,0.8968485012428049,-600.5245071681331,0.006150960922241211,0.03445315361022949,1.0485266,1.466324,4.3332767,3.782911,-3.782911,-1.4799275,10,-7.543679,0.23301683,-0.15253005921840668,0.04428553581237793,19,-1.1889472,-328.581245534122,6.829727649688721,25.52073359470001,-0.14663241803646088,0.0,-378.29110890999436,0.008705652318894863,-1.4260308,-423.2889561653137,-1.570954,0.2829926013946533,0.005897641181945801,1.4343426,-235.93807689671706
-1.2038615,0.9802497482667998,-612.960074520179,0.005558013916015625,0.03489089012145996,1.0562702,1.4736825,4.3652806,3.8407524,-3.8407524,-1.4791511,10,-6.3663483,0.23284097,-0.15448041260242462,0.04621243476867676,20,-1.2417672,-351.1594489067793,7.141829013824463,26.002449261880287,-0.14736828207969666,0.0,-384.07526571899655,0.009100834839046001,-1.4390905,-446.160605892539,-1.6256046,0.3038218021392822,0.007112130522727966,3.0025733,-240.75725802051633
-1.197341,0.9744242700286582,-643.8650995424657,0.005381345748901367,0.031775474548339844,1.0438554,1.4618591,4.313972,4.199899,-4.199899,-1.5028939,10,-7.9638066,0.22443582,-0.16708584129810333,0.04028749465942383,21,-1.1973691,-346.87528520077467,7.430636644363403,35.95602315874508,-0.1461859494447708,0.0,-419.98993414640427,0.007764617912471294,-1.321746,-471.9498691558838,-1.5778589,0.2800333499908447,0.02089989185333252,2.2030988,-254.38892555062503
-1.1803001,0.9365020228676966,-617.4633029702842,0.0055999755859375,0.0343019962310791,1.0442065,1.462196,4.315426,4.049316,-4.049316,-1.4607643,10,-7.8631196,0.23969215,-0.17151902616024017,0.042685747146606445,22,-1.2596948,-337.77688233554363,7.723193168640137,51.96523255103706,-0.14621958136558533,0.0,-404.931577185262,0.007638190407305956,-1.3714985,-506.9827945828438,-1.6592944,0.28461694717407227,0.025299444794654846,1.3226721,-247.3711884282465
-1.2035648,0.8332682447853346,-619.4539650822044,0.0054972171783447266,0.03328752517700195,1.04751,1.4653542,4.3290763,4.6723213,-4.6723213,-1.4719547,10,-9.194656,0.17028795,-0.15276668965816498,0.04649639129638672,23,-1.1768141,-313.8135585784912,8.010631084442139,81.30684610237886,-0.14653542637825012,0.0,-467.23211695551873,0.009713320061564445,-1.9523032,-550.4860171079636,-1.5400342,0.27910375595092773,0.006231263279914856,0.07501614,-286.26385655864
