Iteration,IRLRewardMax,EnvExecTime,ProcessExecTime,AbsLearnSignal,LossBefore,MeanKLBefore,MeanKL,Time,IRLMedianLogQtau,IRLAverageExpertEnergy,AveragePolicyStd,ExplainedVariance,AverageReturn,Entropy,AverageDiscountedReturn,IRLAverageLogQtau,Perplexity,MinReturn,IRLAverageExpertLogQtau,LossAfter,OriginalTaskAverageReturn,IRLAverageEnergy,StdReturn,dLoss,IRLRewardMean,PolicyExecTime,IRLLoss,MaxReturn,IRLRewardMin,ItrTime,IRLMedianExpertLogQtau,NumTrajs
0,-0.018781671,0.027243614196777344,0.004854917526245117,0.8379311428057615,-0.14189386,0.0,0.0073822956,2.1175925731658936,-1.1362463,1.0902108,1.0,5.764722033063663e-12,-226.96335332933813,1.4189383,-137.14852612101097,-1.4272738,4.1327305,-261.60508462786674,-1.7384725,-0.15305363,-610.3545066964441,2.2696333,29.289625130804634,0.011159763,-2.2696333,0.19450855255126953,0.68311846,-173.74584501981735,-4.7837853,2.117595672607422,-1.2431753,10
1,0.083239436,0.026300668716430664,0.004830121994018555,0.7525193891710094,-0.14022559,0.0,0.0076331603,3.5183520317077637,-1.1650789,0.950004,0.98345554,0.9363312488225921,-228.78368756361306,1.4022559,-139.14112083245433,-1.4408804,4.064358,-287.3896898627281,-1.7750161,-0.15723304,-622.9758111916615,2.287837,36.38889468963863,0.017007455,-2.287837,0.0533902645111084,0.5694385,-145.0409316420555,-4.6801043,1.392859935760498,-1.2535336,10
2,0.37965742,0.02617168426513672,0.004830598831176758,0.7845734509790975,-0.14087403,0.0,0.007666342,4.859845399856567,-1.1540401,0.74767685,0.9898536,0.8355794322830387,-215.30458514243364,1.4087404,-131.80334453764905,-1.4178632,4.0907993,-256.92139934003353,-1.7501218,-0.15809672,-631.8700869144748,2.153046,22.604733135694264,0.017222688,-2.153046,0.054094791412353516,0.54853016,-184.67591933906078,-4.350973,1.3362820148468018,-1.2464435,10
3,0.16193639,0.030704021453857422,0.005407810211181641,0.8077974719668225,-0.14223707,0.0,0.00667634,6.269179821014404,-1.127519,0.62136537,1.003438,0.8170410752981374,-226.32965021878482,1.4223708,-141.89074735723887,-1.3744863,4.14694,-276.9210492372513,-1.7216737,-0.14670093,-592.1766971133533,2.2632964,27.486912312862156,0.0044638664,-2.2632964,0.06868386268615723,0.4909491,-171.95570028573275,-4.644587,1.4032478332519531,-1.2389853,10
4,1.1943488,0.027200698852539062,0.004875659942626953,0.7118281347864447,-0.1406708,0.0,0.006414407,7.71702241897583,-1.1321597,0.20071182,0.9878442,0.6226846184860244,-255.38649390302598,1.4067079,-161.97788911937556,-1.4069324,4.0824933,-322.8705949783325,-1.7450358,-0.15496217,-681.2966531890031,2.553865,72.20161177674836,0.014291361,-2.553865,0.05528426170349121,0.4334988,-84.10370209440589,-4.541855,1.441857099533081,-1.242522,10
5,0.36692816,0.025959253311157227,0.005276679992675781,0.8575015587342778,-0.14041272,0.0,0.0057587377,9.103059768676758,-1.1595603,0.5619982,0.9852979,0.5080927502038375,-207.93131664097308,1.4041274,-132.07751614938508,-1.4212425,4.071972,-272.50429582595825,-1.740295,-0.1537457,-567.2916734549457,2.0793133,33.331080229626245,0.013332978,-2.0793133,0.05432462692260742,0.5018521,-145.84571504592896,-4.2079897,1.3806321620941162,-1.2382623,10
6,0.6410214,0.028420448303222656,0.00642085075378418,0.7719972436157836,-0.13984905,0.0,0.006913607,10.512953758239746,-1.1368562,0.75725037,0.97975945,0.899938782899423,-235.73066066727043,1.3984907,-151.41345091920442,-1.436962,4.0490837,-302.75413513183594,-1.7794747,-0.15892966,-539.2122993373524,2.3573067,37.65013457164971,0.01908061,-2.3573067,0.06150388717651367,0.48332393,-181.42876851558685,-4.8438187,1.404667615890503,-1.2627184,10
7,0.5022636,0.028912067413330078,0.005377769470214844,0.7589269282955459,-0.14133961,0.0,0.008124996,12.002611637115479,-1.1169275,0.3337635,0.9944727,0.8409915955863497,-244.09491805583238,1.4133962,-155.46572363941675,-1.4079789,4.10989,-365.55471873283386,-1.7405869,-0.15473321,-629.1022177503212,2.4409492,78.4090862651595,0.013393596,-2.4409492,0.055892229080200195,0.444023,-146.07020904123783,-5.120567,1.483229398727417,-1.2441636,10
8,1.2564796,0.03034520149230957,0.005360126495361328,0.8036997463340424,-0.14174433,0.0,0.009277107,13.494260787963867,-1.1353524,0.25392094,0.9985056,0.7922488685558441,-271.66233499348164,1.4174429,-176.2899491557218,-1.3964822,4.126555,-403.91128277778625,-1.8113303,-0.15613051,-622.6019774218425,2.7166235,106.87736471574256,0.014386177,-2.7166235,0.06452536582946777,0.39813277,-143.41775798797607,-6.137005,1.4861252307891846,-1.2929249,10
9,0.9707896,0.025616884231567383,0.005102872848510742,0.8110301736673479,-0.14131391,0.0,0.005483908,14.850419044494629,-1.1656239,0.49478453,0.99421763,0.8777307184414558,-275.4695433795452,1.4131391,-180.87469100360974,-1.4318987,4.1088333,-416.6821503639221,-1.8735341,-0.15159348,-570.6036845855932,2.7546954,106.31331962502234,0.010279566,-2.7546954,0.052718400955200195,0.4159782,-133.06759856641293,-6.100602,1.3492414951324463,-1.3380828,10
